From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A6NIH7	A6NIH7	reviewed	U119B_HUMAN	Protein unc-119 homolog B	UNC119B	Homo sapiens (Human)	251
A6NK58	A6NK58	reviewed	LIPT2_HUMAN	Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Lipoyltransferase 2) (EC 2.3.1.181) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	LIPT2	Homo sapiens (Human)	231
A6NLW8	A6NLW8	reviewed	DUXA_HUMAN	Double homeobox protein A	DUXA	Homo sapiens (Human)	204
A6NND4	A6NND4	reviewed	O2AT4_HUMAN	Olfactory receptor 2AT4 (Olfactory receptor OR11-265)	OR2AT4	Homo sapiens (Human)	320
A6NNW6	A6NNW6	reviewed	ENO4_HUMAN	Enolase 4 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase)	ENO4 C10orf134	Homo sapiens (Human)	625
A7E2V4	A7E2V4	reviewed	ZSWM8_HUMAN	Zinc finger SWIM domain-containing protein 8	ZSWIM8 KIAA0913	Homo sapiens (Human)	1837
A7MBM2	A7MBM2	reviewed	DISP2_HUMAN	Protein dispatched homolog 2	DISP2 C15orf36 DISPB KIAA1742 LINC00594	Homo sapiens (Human)	1401
A8K855	A8K855	reviewed	EFCB7_HUMAN	EF-hand calcium-binding domain-containing protein 7	EFCAB7 KIAA1799	Homo sapiens (Human)	629
A8K8P3	A8K8P3	reviewed	SFI1_HUMAN	Protein SFI1 homolog (hSFI1)	SFI1 KIAA0542	Homo sapiens (Human)	1242
A8MPY1	A8MPY1	reviewed	GBRR3_HUMAN	Gamma-aminobutyric acid receptor subunit rho-3 (GABA(A) receptor subunit rho-3) (GABAAR subunit rho-3) (GABA(C) receptor)	GABRR3	Homo sapiens (Human)	467
A8MT69	A8MT69	reviewed	CENPX_HUMAN	Centromere protein X (CENP-X) (FANCM-associated histone fold protein 2) (FANCM-interacting histone fold protein 2) (Fanconi anemia-associated polypeptide of 10 kDa) (Retinoic acid-inducible gene D9 protein homolog) (Stimulated by retinoic acid gene 13 protein homolog)	CENPX FAAP10 MHF2 STRA13	Homo sapiens (Human)	81
A8MTJ3	A8MTJ3	reviewed	GNAT3_HUMAN	Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)	GNAT3	Homo sapiens (Human)	354
A8MTQ0	A8MTQ0	reviewed	NOTO_HUMAN	Homeobox protein notochord	NOTO	Homo sapiens (Human)	251
A8MTZ0	A8MTZ0	reviewed	BBIP1_HUMAN	BBSome-interacting protein 1 (BBSome-interacting protein of 10 kDa)	BBIP1 BBIP10 NCRNA00081	Homo sapiens (Human)	92
A8MUP2	A8MUP2	reviewed	CSKMT_HUMAN	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial (CS-KMT) (EC 2.1.1.-) (Methyltransferase-like protein 12, mitochondrial)	CSKMT METTL12	Homo sapiens (Human)	240
A8MV81	A8MV81	reviewed	HIG1C_HUMAN	HIG1 domain family member 1C	HIGD1C UBIE UBIE2	Homo sapiens (Human)	97
A8MW92	A8MW92	reviewed	P20L1_HUMAN	PHD finger protein 20-like protein 1	PHF20L1 CGI-72	Homo sapiens (Human)	1017
A8MXD5	A8MXD5	reviewed	GRCR1_HUMAN	Glutaredoxin domain-containing cysteine-rich protein 1	GRXCR1 DFNB25	Homo sapiens (Human)	290
A8MXV4	A8MXV4	reviewed	NUD19_HUMAN	Acyl-coenzyme A diphosphatase NUDT19 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 19) (Nudix motif 19)	NUDT19	Homo sapiens (Human)	375
A8MYU2	A8MYU2	reviewed	KCNU1_HUMAN	Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)	KCNU1 KCNMA3 KCNMC1 SLO3	Homo sapiens (Human)	1149
B1AK53	B1AK53	reviewed	ESPN_HUMAN	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	ESPN DFNB36 LP2654	Homo sapiens (Human)	854
C9JRZ8	C9JRZ8	reviewed	AK1BF_HUMAN	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	AKR1B15	Homo sapiens (Human)	316
I3L1E1	I3L1E1	reviewed	CS084_HUMAN	piRNA-mediated silencing protein C19orf84	C19orf84	Homo sapiens (Human)	186
O00116	O00116	reviewed	ADAS_HUMAN	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	Homo sapiens (Human)	658
O00139	O00139	reviewed	KIF2A_HUMAN	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	KIF2A KIF2 KNS2	Homo sapiens (Human)	706
O00141	O00141	reviewed	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK	Homo sapiens (Human)	431
O00142	O00142	reviewed	KITM_HUMAN	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)	TK2	Homo sapiens (Human)	265
O00154	O00154	reviewed	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	380
O00159	O00159	reviewed	MYO1C_HUMAN	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
O00159	O00159-3	reviewed	MYO1C_HUMAN	Isoform 3 of Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1044
O00161	O00161	reviewed	SNP23_HUMAN	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	Homo sapiens (Human)	211
O00170	O00170	reviewed	AIP_HUMAN	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	AIP XAP2	Homo sapiens (Human)	330
O00180	O00180	reviewed	KCNK1_HUMAN	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	KCNK1 HOHO1 KCNO1 TWIK1	Homo sapiens (Human)	336
O00182	O00182	reviewed	LEG9_HUMAN	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	LGALS9	Homo sapiens (Human)	355
O00186	O00186	reviewed	STXB3_HUMAN	Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C)	STXBP3	Homo sapiens (Human)	592
O00189	O00189	reviewed	AP4M1_HUMAN	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	AP4M1 MUARP2	Homo sapiens (Human)	453
O00194	O00194	reviewed	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	RAB27B	Homo sapiens (Human)	218
O00203	O00203	reviewed	AP3B1_HUMAN	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
O00204-2	O00204-2	reviewed	ST2B1_HUMAN	Isoform 2 of Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	SULT2B1 HSST2	Homo sapiens (Human)	350
O00206	O00206	reviewed	TLR4_HUMAN	Toll-like receptor 4 (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839
O00212	O00212	reviewed	RHOD_HUMAN	Rho-related GTP-binding protein RhoD (Rho-related protein HP1) (RhoHP1)	RHOD ARHD	Homo sapiens (Human)	210
O00213	O00213	reviewed	APBB1_HUMAN	Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65)	APBB1 FE65 RIR	Homo sapiens (Human)	710
O00217	O00217	reviewed	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	NDUFS8	Homo sapiens (Human)	210
O00220	O00220	reviewed	TR10A_HUMAN	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261)	TNFRSF10A APO2 DR4 TRAILR1	Homo sapiens (Human)	468
O00232	O00232	reviewed	PSD12_HUMAN	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	Homo sapiens (Human)	456
O00233	O00233	reviewed	PSMD9_HUMAN	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	Homo sapiens (Human)	223
O00241	O00241	reviewed	SIRB1_HUMAN	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)	SIRPB1	Homo sapiens (Human)	398
O00244	O00244	reviewed	ATOX1_HUMAN	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1 HAH1	Homo sapiens (Human)	68
O00257	O00257	reviewed	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	CBX4	Homo sapiens (Human)	560
O00258	O00258	reviewed	GET1_HUMAN	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)	GET1 CHD5 WRB	Homo sapiens (Human)	174
O00267	O00267	reviewed	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087
O00268	O00268	reviewed	TAF4_HUMAN	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	1085
O00270	O00270	reviewed	GPR31_HUMAN	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G-protein coupled receptor 31) (GPR31/12-HETER)	GPR31	Homo sapiens (Human)	319
O00273	O00273	reviewed	DFFA_HUMAN	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	Homo sapiens (Human)	331
O00291	O00291	reviewed	HIP1_HUMAN	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	HIP1	Homo sapiens (Human)	1037
O00300	O00300	reviewed	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TNFRSF11B OCIF OPG	Homo sapiens (Human)	401
O00303	O00303	reviewed	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357
O00305	O00305	reviewed	CACB4_HUMAN	Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4)	CACNB4 CACNLB4	Homo sapiens (Human)	520
O00311	O00311	reviewed	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	Homo sapiens (Human)	574
O00327	O00327	reviewed	BMAL1_HUMAN	Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	BMAL1 ARNTL BHLHE5 MOP3 PASD3	Homo sapiens (Human)	626
O00329	O00329	reviewed	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	Homo sapiens (Human)	1044
O00330	O00330	reviewed	ODPX_HUMAN	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	PDHX PDX1	Homo sapiens (Human)	501
O00337	O00337	reviewed	S28A1_HUMAN	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	SLC28A1 CNT1	Homo sapiens (Human)	649
O00338	O00338	reviewed	ST1C2_HUMAN	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase 1C1) (SULT1C#1) (humSULTC2)	SULT1C2 SULT1C1	Homo sapiens (Human)	296
O00398	O00398	reviewed	P2Y10_HUMAN	Putative P2Y purinoceptor 10 (P2Y10) (P2Y-like receptor)	P2RY10	Homo sapiens (Human)	339
O00399	O00399	reviewed	DCTN6_HUMAN	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6 WS3	Homo sapiens (Human)	190
O00400	O00400	reviewed	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	SLC33A1 ACATN AT1	Homo sapiens (Human)	549
O00401	O00401	reviewed	WASL_HUMAN	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	WASL	Homo sapiens (Human)	505
O00410	O00410	reviewed	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097
O00411	O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	POLRMT	Homo sapiens (Human)	1230
O00418	O00418	reviewed	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	Homo sapiens (Human)	725
O00421	O00421	reviewed	CCRL2_HUMAN	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	CCRL2 CCR11 CCR6 CKRX CRAM HCR	Homo sapiens (Human)	344
O00422	O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
O00429	O00429	reviewed	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
O00444	O00444	reviewed	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18	Homo sapiens (Human)	970
O00445	O00445	reviewed	SYT5_HUMAN	Synaptotagmin-5 (Synaptotagmin V) (SytV)	SYT5	Homo sapiens (Human)	386
O00459	O00459	reviewed	P85B_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PIK3R2	Homo sapiens (Human)	728
O00462	O00462	reviewed	MANBA_HUMAN	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	MANBA MANB1	Homo sapiens (Human)	879
O00468	O00468	reviewed	AGRIN_HUMAN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068
O00469	O00469	reviewed	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737
O00470	O00470	reviewed	MEIS1_HUMAN	Homeobox protein Meis1	MEIS1	Homo sapiens (Human)	390
O00471	O00471	reviewed	EXOC5_HUMAN	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	EXOC5 SEC10 SEC10L1	Homo sapiens (Human)	708
O00476	O00476	reviewed	NPT4_HUMAN	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)	SLC17A3 NPT4	Homo sapiens (Human)	420
O00476	O00476-2	reviewed	NPT4_HUMAN	Isoform 2 of Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)	SLC17A3 NPT4	Homo sapiens (Human)	498
